title,overview,vote_average,genres,release_year,id
Baahubali: The Beginning,A warrior prince learns his true heritage and fights to reclaim his throne.,8.1,"Action, Drama",2015,100000
Baahubali 2: The Conclusion,The epic conclusion to the Baahubali saga.,8.2,"Action, Drama",2017,100001
RRR,A fictional story about two revolutionaries in British India.,8.0,"Action, Drama",2022,100002
Arjun Reddy,A hot-headed surgeon struggles with love and addiction.,8.0,"Romance, Drama",2017,100003
Ala Vaikunthapurramuloo,A man discovers his true parentage and fights for justice.,7.3,"Action, Drama",2020,100004
Pushpa: The Rise,A laborer rises in the red sandalwood smuggling underworld.,7.6,"Action, Crime",2021,100005
Eega,A murdered man is reincarnated as a housefly and seeks revenge.,7.7,"Fantasy, Action",2012,100006
Jersey,A struggling cricketer makes a comeback for his son.,8.5,"Sports, Drama",2019,100007
Magadheera,A reincarnation tale of love and revenge spanning centuries.,7.7,"Fantasy, Action",2009,100008
Vikramarkudu,A lookalike takes on the role of a fearless cop.,7.7,"Action, Comedy",2006,100009
Telugu Movie 11,Overview of Telugu Movie 11.,6.0,"Drama, Action",2000,100010
Telugu Movie 12,Overview of Telugu Movie 12.,6.5,"Drama, Action",2001,100011
Telugu Movie 13,Overview of Telugu Movie 13.,7.0,"Drama, Action",2002,100012
Telugu Movie 14,Overview of Telugu Movie 14.,6.0,"Drama, Action",2003,100013
Telugu Movie 15,Overview of Telugu Movie 15.,6.5,"Drama, Action",2004,100014
Telugu Movie 16,Overview of Telugu Movie 16.,7.0,"Drama, Action",2005,100015
Telugu Movie 17,Overview of Telugu Movie 17.,6.0,"Drama, Action",2006,100016
Telugu Movie 18,Overview of Telugu Movie 18.,6.5,"Drama, Action",2007,100017
Telugu Movie 19,Overview of Telugu Movie 19.,7.0,"Drama, Action",2008,100018
Telugu Movie 20,Overview of Telugu Movie 20.,6.0,"Drama, Action",2009,100019
Telugu Movie 21,Overview of Telugu Movie 21.,6.5,"Drama, Action",2010,100020
Telugu Movie 22,Overview of Telugu Movie 22.,7.0,"Drama, Action",2011,100021
Telugu Movie 23,Overview of Telugu Movie 23.,6.0,"Drama, Action",2012,100022
Telugu Movie 24,Overview of Telugu Movie 24.,6.5,"Drama, Action",2013,100023
Telugu Movie 25,Overview of Telugu Movie 25.,7.0,"Drama, Action",2014,100024
Telugu Movie 26,Overview of Telugu Movie 26.,6.0,"Drama, Action",2015,100025
Telugu Movie 27,Overview of Telugu Movie 27.,6.5,"Drama, Action",2016,100026
Telugu Movie 28,Overview of Telugu Movie 28.,7.0,"Drama, Action",2017,100027
Telugu Movie 29,Overview of Telugu Movie 29.,6.0,"Drama, Action",2018,100028
Telugu Movie 30,Overview of Telugu Movie 30.,6.5,"Drama, Action",2019,100029
